trigger_class,Answer.time_in_minutes,slide_number_in_experiment,rt,prior_fact,content,question_type,short_trigger,block,response,workerid,prior,trigger
C,8.172466666666667,37,3415,Tony really likes to party with his friends,tony,projective,know,block1,0.96,3,high_prior,know
C,8.172466666666667,38,3991,Olivia works the third shift,olivia,projective,establish,block1,0.93,3,high_prior,establish
C,8.172466666666667,39,5575,Owen lives in Chicago,owen,projective,discover,block1,0.86,3,high_prior,discover
C,8.172466666666667,40,2848,Josie doesn't have a passport,josie,projective,suggest,block1,0.06,3,low_prior,suggest
MC,8.172466666666667,41,2672,Ballet is a type of dance,ballet,projective,MC,block1,0.94,3,,MC
C,8.172466666666667,42,3000,Josh is a 75-year old man,josh,projective,confess,block1,0.04,3,low_prior,confess
C,8.172466666666667,43,2624,Grace hates her sister,grace,projective,admit,block1,0.04,3,low_prior,admit
C,8.172466666666667,44,2720,Julian is German,julian,projective,say,block1,0.05,3,low_prior,say
MC,8.172466666666667,45,7944,Many children like ice cream,kids,projective,MC,block1,0.11,3,,MC
C,8.172466666666667,46,3951,Jackson is obese,jackson,projective,be_annoyed,block1,0.1,3,low_prior,be_annoyed
C,8.172466666666667,47,3519,Danny loves cake,danny,projective,announce,block1,0.91,3,high_prior,announce
C,8.172466666666667,48,5791,Jayden doesn't have a driver's license,jayden,projective,demonstrate,block1,0.04,3,low_prior,demonstrate
MC,8.172466666666667,49,4624,Hats are worn on the head,hat,projective,MC,block1,0.91,3,,MC
C,8.172466666666667,50,3584,Mia is a nun,mia,projective,prove,block1,0.04,3,low_prior,prove
MC,8.172466666666667,51,3920,Pizza is sold at the pizzeria,pizza,projective,MC,block1,0.88,3,,MC
C,8.172466666666667,52,2680,Sophia is a hipster,sophia,projective,be_right,block1,0.85,3,high_prior,be_right
C,8.172466666666667,53,4720,Charley lives in Mexico,charley,projective,think,block1,0.09,3,high_prior,think
C,8.172466666666667,54,6400,Emily never has any money,emily,projective,hear,block1,0.02,3,low_prior,hear
C,8.172466666666667,55,4279,Jon lives 10 miles away from work,jon,projective,confirm,block1,0,3,low_prior,confirm
MC,8.172466666666667,56,8263,Muffins are sold at the bakery,muffins,projective,MC,block1,0.81,3,,MC
C,8.172466666666667,57,8352,Mary is taking a prenatal yoga class,mary,projective,see,block1,0.84,3,high_prior,see
C,8.172466666666667,59,8452,Sophia is a hipster,sophia,ai,be_right,block2,0.89,3,high_prior,be_right
C,8.172466666666667,60,2984,Jon lives 10 miles away from work,jon,ai,confirm,block2,0.06,3,low_prior,confirm
C,8.172466666666667,61,4696,Grace hates her sister,grace,ai,admit,block2,0.03,3,low_prior,admit
C,8.172466666666667,62,3631,Jayden doesn't have a driver's license,jayden,ai,demonstrate,block2,0.02,3,low_prior,demonstrate
MC,8.172466666666667,63,3567,Hats are worn on the head,hat,ai,MC,block2,0.94,3,,MC
MC,8.172466666666667,64,2735,Ballet is a type of dance,ballet,ai,MC,block2,0.97,3,,MC
MC,8.172466666666667,65,2960,Garages are used to store cars and other things,garage,ai,MC,block2,0.06,3,,MC
C,8.172466666666667,66,2455,Frank has always wanted a pet,frank,ai,pretend,block2,0.91,3,high_prior,pretend
MC,8.172466666666667,67,2432,Muffins are sold at the bakery,muffins,ai,MC,block2,0.92,3,,MC
C,8.172466666666667,68,2272,Olivia works the third shift,olivia,ai,establish,block2,0.93,3,high_prior,establish
C,8.172466666666667,69,2959,Isabella is a vegetarian,isabella,ai,inform,block2,0.02,3,low_prior,inform
C,8.172466666666667,70,2848,Mia is a nun,mia,ai,prove,block2,0.02,3,low_prior,prove
MC,8.172466666666667,71,4080,Many children like ice cream,kids,ai,MC,block2,0.98,3,,MC
C,8.172466666666667,72,4040,Mary is taking a prenatal yoga class,mary,ai,see,block2,0.94,3,high_prior,see
C,8.172466666666667,73,3288,Owen lives in Chicago,owen,ai,discover,block2,0.93,3,high_prior,discover
C,8.172466666666667,74,3696,Josh is a 75-year old man,josh,ai,confess,block2,0.02,3,low_prior,confess
C,8.172466666666667,75,4600,Emily never has any money,emily,ai,hear,block2,0.03,3,low_prior,hear
MC,8.172466666666667,76,2488,Pizza is sold at the pizzeria,pizza,ai,MC,block2,0.92,3,,MC
C,8.172466666666667,77,7360,Tony really likes to party with his friends,tony,ai,know,block2,0.96,3,high_prior,know
C,8.172466666666667,78,3392,Zoe is a math major,zoe,ai,reveal,block2,0.97,3,high_prior,reveal
C,8.172466666666667,79,4983,Jackson is obese,jackson,ai,be_annoyed,block2,0.02,3,low_prior,be_annoyed
C,8.172466666666667,80,3648,Julian is German,julian,ai,say,block2,0.89,3,low_prior,say
C,8.172466666666667,81,2399,Josie doesn't have a passport,josie,ai,suggest,block2,0.02,3,low_prior,suggest
C,8.172466666666667,82,3048,Danny loves cake,danny,ai,announce,block2,0.95,3,high_prior,announce
C,8.172466666666667,83,4287,Charley lives in Mexico,charley,ai,think,block2,0.91,3,high_prior,think
C,8.172466666666667,84,2728,Emma is in law school,emma,ai,acknowledge,block2,0.87,3,high_prior,acknowledge
C,10.993166666666667,5,6383,Charley lives in Mexico,charley,prior,establish,block0,0.92,4,high_prior,establish
MC,10.993166666666667,6,12480,Garages are used to store cars and other things,garage,prior,MC,block0,0.87,4,,MC
C,10.993166666666667,7,7680,Isabella is from Argentina,isabella,prior,admit,block0,1,4,high_prior,admit
MC,10.993166666666667,8,13120,Many children like ice cream,kids,prior,MC,block0,0.98,4,,MC
C,10.993166666666667,9,19119,Emily has been saving for a year,emily,prior,discover,block0,0.4,4,high_prior,discover
C,10.993166666666667,10,6727,Jayden doesn't have a driver's license,jayden,prior,prove,block0,0,4,low_prior,prove
C,10.993166666666667,11,12567,Jon lives 10 miles away from work,jon,prior,be_right,block0,0.18,4,low_prior,be_right
C,10.993166666666667,12,7974,Frank is allergic to cats,frank,prior,confirm,block0,0,4,low_prior,confirm
C,10.993166666666667,13,7055,Zoe is 5 years old,zoe,prior,pretend,block0,0.22,4,low_prior,pretend
MC,10.993166666666667,14,13136,Hats are worn on the head,hat,prior,MC,block0,1,4,,MC
C,10.993166666666667,15,4784,Mary is taking a prenatal yoga class,mary,prior,announce,block0,0.8,4,high_prior,announce
C,10.993166666666667,16,16024,Olivia works the third shift,olivia,prior,be_annoyed,block0,0.83,4,high_prior,be_annoyed
C,10.993166666666667,17,13416,Josh is a 75-year old man,josh,prior,think,block0,0.16,4,low_prior,think
C,10.993166666666667,18,18058,Tony has been sober for 20 years,tony,prior,acknowledge,block0,0,4,low_prior,acknowledge
C,10.993166666666667,19,7576,Danny is a diabetic,danny,prior,suggest,block0,0.05,4,low_prior,suggest
C,10.993166666666667,20,7352,Grace loves her sister,grace,prior,confess,block0,0.93,4,high_prior,confess
C,10.993166666666667,21,11872,Emma is in first grade,emma,prior,see,block0,0.27,4,low_prior,see
C,10.993166666666667,22,6208,Mia is a college student,mia,prior,say,block0,0.99,4,high_prior,say
C,10.993166666666667,23,5920,Julian is German,julian,prior,inform,block0,0.32,4,low_prior,inform
MC,10.993166666666667,24,8536,Ballet is a type of dance,ballet,prior,MC,block0,0.52,4,,MC
MC,10.993166666666667,25,8464,Pizza is sold at the pizzeria,pizza,prior,MC,block0,0.63,4,,MC
MC,10.993166666666667,26,6000,Muffins are sold at the bakery,muffins,prior,MC,block0,0.95,4,,MC
C,10.993166666666667,27,8400,Owen lives in New Orleans,owen,prior,reveal,block0,0.24,4,low_prior,reveal
C,10.993166666666667,28,13288,Josie loves France,josie,prior,hear,block0,0.86,4,high_prior,hear
C,10.993166666666667,29,13479,Jackson is training for a marathon,jackson,prior,know,block0,1,4,high_prior,know
C,10.993166666666667,30,5999,Sophia is a hipster,sophia,prior,demonstrate,block0,0.93,4,high_prior,demonstrate
C,10.993166666666667,32,30588,Frank is allergic to cats,frank,ai,confirm,block1,0.95,4,low_prior,confirm
MC,10.993166666666667,33,15416,Many children like ice cream,kids,ai,MC,block1,0.95,4,,MC
C,10.993166666666667,34,14103,Emily has been saving for a year,emily,ai,discover,block1,0.54,4,high_prior,discover
C,10.993166666666667,35,10944,Isabella is from Argentina,isabella,ai,admit,block1,0.7,4,high_prior,admit
C,10.993166666666667,36,22425,Olivia works the third shift,olivia,ai,be_annoyed,block1,0.11,4,high_prior,be_annoyed
C,10.993166666666667,37,13904,Sophia is a hipster,sophia,ai,demonstrate,block1,0.09,4,high_prior,demonstrate
C,10.993166666666667,38,18968,Danny is a diabetic,danny,ai,suggest,block1,0.23,4,low_prior,suggest
MC,10.993166666666667,39,10352,Garages are used to store cars and other things,garage,ai,MC,block1,0.96,4,,MC
C,10.993166666666667,40,16472,Charley lives in Mexico,charley,ai,establish,block1,0.76,4,high_prior,establish
C,10.993166666666667,41,2848,Owen lives in New Orleans,owen,ai,reveal,block1,0.64,4,low_prior,reveal
C,10.993166666666667,42,5120,Julian is German,julian,ai,inform,block1,0.72,4,low_prior,inform
C,10.993166666666667,43,2424,Josie loves France,josie,ai,hear,block1,0.33,4,high_prior,hear
C,10.993166666666667,44,11080,Tony has been sober for 20 years,tony,ai,acknowledge,block1,0.08,4,low_prior,acknowledge
MC,10.993166666666667,45,4847,Muffins are sold at the bakery,muffins,ai,MC,block1,0.72,4,,MC
MC,10.993166666666667,46,1231,Ballet is a type of dance,ballet,ai,MC,block1,0.73,4,,MC
C,10.993166666666667,47,2503,Emma is in first grade,emma,ai,see,block1,0.34,4,low_prior,see
C,10.993166666666667,48,1447,Josh is a 75-year old man,josh,ai,think,block1,0.69,4,low_prior,think
MC,10.993166666666667,49,4936,Pizza is sold at the pizzeria,pizza,ai,MC,block1,0.7,4,,MC
C,10.993166666666667,50,16840,Jon lives 10 miles away from work,jon,ai,be_right,block1,0.75,4,low_prior,be_right
C,10.993166666666667,51,1680,Mary is taking a prenatal yoga class,mary,ai,announce,block1,0.24,4,high_prior,announce
MC,10.993166666666667,52,2008,Hats are worn on the head,hat,ai,MC,block1,0.74,4,,MC
C,10.993166666666667,53,1720,Jayden doesn't have a driver's license,jayden,ai,prove,block1,0.7,4,low_prior,prove
C,10.993166666666667,54,1271,Zoe is 5 years old,zoe,ai,pretend,block1,0.27,4,low_prior,pretend
C,10.993166666666667,55,1296,Mia is a college student,mia,ai,say,block1,0.74,4,high_prior,say
C,10.993166666666667,56,1432,Grace loves her sister,grace,ai,confess,block1,0.72,4,high_prior,confess
C,10.993166666666667,57,6056,Jackson is training for a marathon,jackson,ai,know,block1,0.73,4,high_prior,know
C,10.993166666666667,59,11703,Mary is taking a prenatal yoga class,mary,projective,announce,block2,0.9,4,high_prior,announce
C,10.993166666666667,60,7943,Owen lives in New Orleans,owen,projective,reveal,block2,0.31,4,low_prior,reveal
C,10.993166666666667,61,5456,Jon lives 10 miles away from work,jon,projective,be_right,block2,0.19,4,low_prior,be_right
C,10.993166666666667,62,4488,Grace loves her sister,grace,projective,confess,block2,0.87,4,high_prior,confess
C,10.993166666666667,63,3810,Zoe is 5 years old,zoe,projective,pretend,block2,0.16,4,low_prior,pretend
C,10.993166666666667,64,2798,Emma is in first grade,emma,projective,see,block2,0.18,4,low_prior,see
C,10.993166666666667,65,3456,Olivia works the third shift,olivia,projective,be_annoyed,block2,0.41,4,high_prior,be_annoyed
C,10.993166666666667,66,5208,Jayden doesn't have a driver's license,jayden,projective,prove,block2,0.01,4,low_prior,prove
C,10.993166666666667,67,3960,Josie loves France,josie,projective,hear,block2,0.69,4,high_prior,hear
C,10.993166666666667,68,4792,Jackson is training for a marathon,jackson,projective,know,block2,0.2,4,high_prior,know
MC,10.993166666666667,69,5416,Pizza is sold at the pizzeria,pizza,projective,MC,block2,0.7,4,,MC
C,10.993166666666667,70,2000,Frank is allergic to cats,frank,projective,confirm,block2,0.26,4,low_prior,confirm
C,10.993166666666667,71,2472,Danny is a diabetic,danny,projective,suggest,block2,0.72,4,low_prior,suggest
MC,10.993166666666667,72,3032,Many children like ice cream,kids,projective,MC,block2,0.32,4,,MC
MC,10.993166666666667,73,4856,Garages are used to store cars and other things,garage,projective,MC,block2,0.73,4,,MC
MC,10.993166666666667,74,4768,Hats are worn on the head,hat,projective,MC,block2,1,4,,MC
C,10.993166666666667,75,3864,Sophia is a hipster,sophia,projective,demonstrate,block2,0.9,4,high_prior,demonstrate
C,10.993166666666667,76,1824,Charley lives in Mexico,charley,projective,establish,block2,1,4,high_prior,establish
C,10.993166666666667,77,4456,Josh is a 75-year old man,josh,projective,think,block2,0,4,low_prior,think
C,10.993166666666667,78,3776,Isabella is from Argentina,isabella,projective,admit,block2,0.89,4,high_prior,admit
C,10.993166666666667,79,3512,Emily has been saving for a year,emily,projective,discover,block2,0.7,4,high_prior,discover
MC,10.993166666666667,80,2328,Muffins are sold at the bakery,muffins,projective,MC,block2,0.81,4,,MC
MC,10.993166666666667,81,2688,Ballet is a type of dance,ballet,projective,MC,block2,1,4,,MC
C,10.993166666666667,82,3592,Julian is German,julian,projective,inform,block2,0.79,4,low_prior,inform
C,10.993166666666667,83,2272,Tony has been sober for 20 years,tony,projective,acknowledge,block2,0.85,4,low_prior,acknowledge
C,10.993166666666667,84,2960,Mia is a college student,mia,projective,say,block2,0.03,4,high_prior,say
C,9.089333333333334,5,5367,Tony has been sober for 20 years,tony,prior,prove,block0,0.68,5,low_prior,prove
C,9.089333333333334,6,2791,Frank has always wanted a pet,frank,prior,suggest,block0,0.75,5,high_prior,suggest
C,9.089333333333334,7,2632,Isabella is from Argentina,isabella,prior,confess,block0,0.32,5,high_prior,confess
C,9.089333333333334,8,2056,Jackson is obese,jackson,prior,be_right,block0,0.76,5,low_prior,be_right
C,9.089333333333334,9,3433,Emily has been saving for a year,emily,prior,be_annoyed,block0,0.63,5,high_prior,be_annoyed
MC,9.089333333333334,10,5119,Many children like ice cream,kids,prior,MC,block0,0.27,5,,MC
C,9.089333333333334,11,1814,Julian is German,julian,prior,admit,block0,0.6,5,low_prior,admit
C,9.089333333333334,12,3241,Charley lives in Korea,charley,prior,see,block0,0.03,5,low_prior,see
C,9.089333333333334,13,6645,Grace loves her sister,grace,prior,establish,block0,0.91,5,high_prior,establish
C,9.089333333333334,14,5895,Zoe is a math major,zoe,prior,acknowledge,block0,0.9,5,high_prior,acknowledge
C,9.089333333333334,15,3624,Owen lives in Chicago,owen,prior,demonstrate,block0,0.75,5,high_prior,demonstrate
C,9.089333333333334,16,6648,Jayden's car is in the shop,jayden,prior,announce,block0,0.18,5,high_prior,announce
C,9.089333333333334,17,9127,Josh is a 75-year old man,josh,prior,think,block0,0.8,5,low_prior,think
MC,9.089333333333334,18,1688,Muffins are sold at the bakery,muffins,prior,MC,block0,0.55,5,,MC
MC,9.089333333333334,19,1704,Pizza is sold at the pizzeria,pizza,prior,MC,block0,0.46,5,,MC
MC,9.089333333333334,20,1530,Ballet is a type of dance,ballet,prior,MC,block0,0.74,5,,MC
C,9.089333333333334,21,15327,Mary is a middle school student,mary,prior,confirm,block0,0.07,5,low_prior,confirm
MC,9.089333333333334,22,3751,Hats are worn on the head,hat,prior,MC,block0,0.23,5,,MC
C,9.089333333333334,23,7919,Olivia has two small children,olivia,prior,reveal,block0,0.47,5,low_prior,reveal
C,9.089333333333334,24,2881,Josie loves France,josie,prior,pretend,block0,0.81,5,high_prior,pretend
C,9.089333333333334,25,2208,Mia is a nun,mia,prior,discover,block0,0.9,5,low_prior,discover
C,9.089333333333334,26,4263,Danny is a diabetic,danny,prior,hear,block0,0.12,5,low_prior,hear
C,9.089333333333334,27,2168,Jon lives 2 blocks away from work,jon,prior,know,block0,0.69,5,high_prior,know
MC,9.089333333333334,28,2031,Garages are used to store cars and other things,garage,prior,MC,block0,0.83,5,,MC
C,9.089333333333334,29,6143,Emma is in law school,emma,prior,say,block0,0.53,5,high_prior,say
C,9.089333333333334,30,2704,Sophia is a high end fashion model,sophia,prior,inform,block0,0.91,5,low_prior,inform
C,9.089333333333334,32,12145,Charley lives in Korea,charley,ai,see,block1,0.86,5,low_prior,see
MC,9.089333333333334,33,9160,Many children like ice cream,kids,ai,MC,block1,0.91,5,,MC
C,9.089333333333334,34,4527,Josie loves France,josie,ai,pretend,block1,0.7,5,high_prior,pretend
C,9.089333333333334,35,5376,Danny is a diabetic,danny,ai,hear,block1,0.96,5,low_prior,hear
C,9.089333333333334,36,3969,Zoe is a math major,zoe,ai,acknowledge,block1,0.82,5,high_prior,acknowledge
C,9.089333333333334,37,4120,Emma is in law school,emma,ai,say,block1,0.85,5,high_prior,say
C,9.089333333333334,38,2128,Jayden's car is in the shop,jayden,ai,announce,block1,0.81,5,high_prior,announce
C,9.089333333333334,39,1464,Sophia is a high end fashion model,sophia,ai,inform,block1,0.78,5,low_prior,inform
MC,9.089333333333334,40,1608,Ballet is a type of dance,ballet,ai,MC,block1,0.83,5,,MC
C,9.089333333333334,41,1327,Owen lives in Chicago,owen,ai,demonstrate,block1,0.58,5,high_prior,demonstrate
C,9.089333333333334,42,1169,Jackson is obese,jackson,ai,be_right,block1,0.79,5,low_prior,be_right
C,9.089333333333334,43,1432,Emily has been saving for a year,emily,ai,be_annoyed,block1,0.81,5,high_prior,be_annoyed
C,9.089333333333334,44,1719,Grace loves her sister,grace,ai,establish,block1,0.91,5,high_prior,establish
C,9.089333333333334,45,1288,Frank has always wanted a pet,frank,ai,suggest,block1,0.9,5,high_prior,suggest
C,9.089333333333334,46,1231,Josh is a 75-year old man,josh,ai,think,block1,0.93,5,low_prior,think
MC,9.089333333333334,47,1592,Hats are worn on the head,hat,ai,MC,block1,0.98,5,,MC
C,9.089333333333334,48,1391,Mary is a middle school student,mary,ai,confirm,block1,0.75,5,low_prior,confirm
MC,9.089333333333334,49,1911,Pizza is sold at the pizzeria,pizza,ai,MC,block1,0.78,5,,MC
C,9.089333333333334,50,2103,Tony has been sober for 20 years,tony,ai,prove,block1,0.9,5,low_prior,prove
C,9.089333333333334,51,1424,Isabella is from Argentina,isabella,ai,confess,block1,0.79,5,high_prior,confess
C,9.089333333333334,52,1552,Jon lives 2 blocks away from work,jon,ai,know,block1,0.88,5,high_prior,know
MC,9.089333333333334,53,1433,Muffins are sold at the bakery,muffins,ai,MC,block1,0.94,5,,MC
C,9.089333333333334,54,1719,Olivia has two small children,olivia,ai,reveal,block1,0.95,5,low_prior,reveal
MC,9.089333333333334,55,1400,Garages are used to store cars and other things,garage,ai,MC,block1,0.97,5,,MC
C,9.089333333333334,56,1456,Julian is German,julian,ai,admit,block1,0.88,5,low_prior,admit
C,9.089333333333334,57,2240,Mia is a nun,mia,ai,discover,block1,0.87,5,low_prior,discover
C,9.089333333333334,59,2429,Jackson is obese,jackson,projective,be_right,block2,0.79,5,low_prior,be_right
C,9.089333333333334,60,1895,Mia is a nun,mia,projective,discover,block2,0.91,5,low_prior,discover
C,9.089333333333334,61,1360,Isabella is from Argentina,isabella,projective,confess,block2,0.81,5,high_prior,confess
C,9.089333333333334,62,1448,Olivia has two small children,olivia,projective,reveal,block2,0.82,5,low_prior,reveal
C,9.089333333333334,63,1402,Sophia is a high end fashion model,sophia,projective,inform,block2,0.84,5,low_prior,inform
C,9.089333333333334,64,2716,Danny is a diabetic,danny,projective,hear,block2,0.84,5,low_prior,hear
MC,9.089333333333334,65,1800,Garages are used to store cars and other things,garage,projective,MC,block2,0.92,5,,MC
MC,9.089333333333334,66,1528,Muffins are sold at the bakery,muffins,projective,MC,block2,0.77,5,,MC
C,9.089333333333334,67,1472,Zoe is a math major,zoe,projective,acknowledge,block2,0.89,5,high_prior,acknowledge
C,9.089333333333334,68,1656,Josie loves France,josie,projective,pretend,block2,0.81,5,high_prior,pretend
C,9.089333333333334,69,2016,Mary is a middle school student,mary,projective,confirm,block2,0.85,5,low_prior,confirm
C,9.089333333333334,70,1456,Josh is a 75-year old man,josh,projective,think,block2,0.86,5,low_prior,think
MC,9.089333333333334,71,1481,Pizza is sold at the pizzeria,pizza,projective,MC,block2,0.86,5,,MC
C,9.089333333333334,72,2184,Jon lives 2 blocks away from work,jon,projective,know,block2,0.87,5,high_prior,know
MC,9.089333333333334,73,1511,Hats are worn on the head,hat,projective,MC,block2,0.95,5,,MC
MC,9.089333333333334,74,1935,Ballet is a type of dance,ballet,projective,MC,block2,0.94,5,,MC
C,9.089333333333334,75,2344,Tony has been sober for 20 years,tony,projective,prove,block2,0.95,5,low_prior,prove
C,9.089333333333334,76,3008,Charley lives in Korea,charley,projective,see,block2,0.92,5,low_prior,see
C,9.089333333333334,77,1504,Owen lives in Chicago,owen,projective,demonstrate,block2,0.97,5,high_prior,demonstrate
MC,9.089333333333334,78,2320,Many children like ice cream,kids,projective,MC,block2,0.84,5,,MC
C,9.089333333333334,79,1463,Jayden's car is in the shop,jayden,projective,announce,block2,0.85,5,high_prior,announce
C,9.089333333333334,80,1903,Frank has always wanted a pet,frank,projective,suggest,block2,0.93,5,high_prior,suggest
C,9.089333333333334,81,1439,Julian is German,julian,projective,admit,block2,0.99,5,low_prior,admit
C,9.089333333333334,82,2520,Emily has been saving for a year,emily,projective,be_annoyed,block2,0.85,5,high_prior,be_annoyed
C,9.089333333333334,83,1968,Grace loves her sister,grace,projective,establish,block2,0.89,5,high_prior,establish
C,9.089333333333334,84,3000,Emma is in law school,emma,projective,say,block2,0.94,5,high_prior,say
C,16.2875,5,8793,Julian is German,julian,prior,prove,block0,0.27,6,low_prior,prove
C,16.2875,6,5189,Isabella is a vegetarian,isabella,prior,see,block0,0.05,6,low_prior,see
MC,16.2875,7,7499,Ballet is a type of dance,ballet,prior,MC,block0,0.32,6,,MC
MC,16.2875,8,63789,Hats are worn on the head,hat,prior,MC,block0,0.38,6,,MC
MC,16.2875,9,79718,Muffins are sold at the bakery,muffins,prior,MC,block0,0.51,6,,MC
C,16.2875,10,5345,Danny loves cake,danny,prior,admit,block0,0.5,6,high_prior,admit
C,16.2875,11,3409,Mia is a college student,mia,prior,know,block0,0.51,6,high_prior,know
C,16.2875,12,4142,Jon lives 10 miles away from work,jon,prior,be_annoyed,block0,0.28,6,low_prior,be_annoyed
C,16.2875,13,3921,Tony really likes to party with his friends,tony,prior,reveal,block0,0.63,6,high_prior,reveal
C,16.2875,14,3751,Frank has always wanted a pet,frank,prior,hear,block0,0.68,6,high_prior,hear
C,16.2875,15,6118,Mary is taking a prenatal yoga class,mary,prior,confess,block0,0.77,6,high_prior,confess
C,16.2875,16,5172,Jackson is obese,jackson,prior,be_right,block0,0.16,6,low_prior,be_right
C,16.2875,17,3594,Zoe is a math major,zoe,prior,discover,block0,0.71,6,high_prior,discover
C,16.2875,18,6178,Josie doesn't have a passport,josie,prior,acknowledge,block0,0.13,6,low_prior,acknowledge
MC,16.2875,19,12826,Pizza is sold at the pizzeria,pizza,prior,MC,block0,0.5,6,,MC
C,16.2875,20,3992,Olivia has two small children,olivia,prior,suggest,block0,0.16,6,low_prior,suggest
C,16.2875,21,4224,Emma is in first grade,emma,prior,inform,block0,0.17,6,low_prior,inform
C,16.2875,22,5908,Sophia is a hipster,sophia,prior,think,block0,0.17,6,high_prior,think
C,16.2875,23,6098,Owen lives in Chicago,owen,prior,confirm,block0,0.74,6,high_prior,confirm
C,16.2875,24,6457,Charley lives in Mexico,charley,prior,say,block0,0.81,6,high_prior,say
C,16.2875,25,3592,Jayden doesn't have a driver's license,jayden,prior,pretend,block0,0.1,6,low_prior,pretend
MC,16.2875,26,4868,Many children like ice cream,kids,prior,MC,block0,0.48,6,,MC
C,16.2875,27,20903,Emily never has any money,emily,prior,demonstrate,block0,0.17,6,low_prior,demonstrate
C,16.2875,28,3516,Josh is a 75-year old man,josh,prior,announce,block0,0.11,6,low_prior,announce
MC,16.2875,29,5753,Garages are used to store cars and other things,garage,prior,MC,block0,0.61,6,,MC
C,16.2875,30,5121,Grace loves her sister,grace,prior,establish,block0,0.82,6,high_prior,establish
C,16.2875,32,8107,Jackson is obese,jackson,ai,be_right,block1,1,6,low_prior,be_right
MC,16.2875,33,10173,Hats are worn on the head,hat,ai,MC,block1,1,6,,MC
C,16.2875,34,7072,Isabella is a vegetarian,isabella,ai,see,block1,0,6,low_prior,see
C,16.2875,35,4811,Mia is a college student,mia,ai,know,block1,0,6,high_prior,know
C,16.2875,36,6191,Josh is a 75-year old man,josh,ai,announce,block1,0,6,low_prior,announce
C,16.2875,37,3345,Emily never has any money,emily,ai,demonstrate,block1,0,6,low_prior,demonstrate
MC,16.2875,38,2901,Ballet is a type of dance,ballet,ai,MC,block1,1,6,,MC
C,16.2875,39,3126,Danny loves cake,danny,ai,admit,block1,0,6,high_prior,admit
C,16.2875,40,4926,Jon lives 10 miles away from work,jon,ai,be_annoyed,block1,0,6,low_prior,be_annoyed
C,16.2875,41,6605,Sophia is a hipster,sophia,ai,think,block1,0,6,high_prior,think
C,16.2875,42,4466,Tony really likes to party with his friends,tony,ai,reveal,block1,0,6,high_prior,reveal
C,16.2875,43,2921,Josie doesn't have a passport,josie,ai,acknowledge,block1,0,6,low_prior,acknowledge
C,16.2875,44,1727,Grace loves her sister,grace,ai,establish,block1,0,6,high_prior,establish
C,16.2875,45,1925,Julian is German,julian,ai,prove,block1,0,6,low_prior,prove
C,16.2875,46,4323,Emma is in first grade,emma,ai,inform,block1,0,6,low_prior,inform
MC,16.2875,47,3205,Pizza is sold at the pizzeria,pizza,ai,MC,block1,1,6,,MC
C,16.2875,48,2821,Zoe is a math major,zoe,ai,discover,block1,0,6,high_prior,discover
C,16.2875,49,12847,Charley lives in Mexico,charley,ai,say,block1,0,6,high_prior,say
C,16.2875,50,3626,Frank has always wanted a pet,frank,ai,hear,block1,0,6,high_prior,hear
C,16.2875,51,2228,Owen lives in Chicago,owen,ai,confirm,block1,0,6,high_prior,confirm
MC,16.2875,52,2206,Muffins are sold at the bakery,muffins,ai,MC,block1,1,6,,MC
C,16.2875,53,1804,Olivia has two small children,olivia,ai,suggest,block1,0,6,low_prior,suggest
MC,16.2875,54,2925,Garages are used to store cars and other things,garage,ai,MC,block1,1,6,,MC
C,16.2875,55,3054,Mary is taking a prenatal yoga class,mary,ai,confess,block1,0,6,high_prior,confess
MC,16.2875,56,5288,Many children like ice cream,kids,ai,MC,block1,1,6,,MC
C,16.2875,57,2532,Jayden doesn't have a driver's license,jayden,ai,pretend,block1,0,6,low_prior,pretend
MC,16.2875,59,5429,Pizza is sold at the pizzeria,pizza,projective,MC,block2,0,6,,MC
C,16.2875,60,5486,Charley lives in Mexico,charley,projective,say,block2,0,6,high_prior,say
C,16.2875,61,13868,Mia is a college student,mia,projective,know,block2,0.02,6,high_prior,know
C,16.2875,62,25997,Emma is in first grade,emma,projective,inform,block2,0,6,low_prior,inform
MC,16.2875,63,3369,Ballet is a type of dance,ballet,projective,MC,block2,0,6,,MC
MC,16.2875,64,3994,Garages are used to store cars and other things,garage,projective,MC,block2,0,6,,MC
C,16.2875,65,4282,Frank has always wanted a pet,frank,projective,hear,block2,1,6,high_prior,hear
MC,16.2875,66,18443,Muffins are sold at the bakery,muffins,projective,MC,block2,0,6,,MC
C,16.2875,67,6082,Mary is taking a prenatal yoga class,mary,projective,confess,block2,1,6,high_prior,confess
C,16.2875,68,7992,Sophia is a hipster,sophia,projective,think,block2,1,6,high_prior,think
C,16.2875,69,5315,Julian is German,julian,projective,prove,block2,0.02,6,low_prior,prove
C,16.2875,70,15070,Isabella is a vegetarian,isabella,projective,see,block2,1,6,low_prior,see
C,16.2875,71,3592,Jackson is obese,jackson,projective,be_right,block2,0,6,low_prior,be_right
C,16.2875,72,5729,Danny loves cake,danny,projective,admit,block2,0,6,high_prior,admit
C,16.2875,73,6452,Josie doesn't have a passport,josie,projective,acknowledge,block2,1,6,low_prior,acknowledge
C,16.2875,74,75152,Owen lives in Chicago,owen,projective,confirm,block2,0,6,high_prior,confirm
C,16.2875,75,53356,Olivia has two small children,olivia,projective,suggest,block2,0,6,low_prior,suggest
